"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"464",58.5,129.5,105.5,6.5,24.5,62.5,42.5,19.5,37.5,40.5,23.5,19.5,6.5,6.5
"465",0.5,0.5,0.5,0.5,0.5,57.5,52.5,28.5,217.5,26.5,41.5,279.5,285.5,64.5
"466",0.5,0.5,112.5,63.5,84.5,171.5,128.5,32.5,68.5,87.5,50.5,85.5,59.5,45.5
"467",0.5,0.5,0.5,0.5,0.5,34.5,48.5,184.5,151.5,75.5,108.5,193.5,157.5,106.5
"468",0.5,0.5,0.5,0.5,0.5,13.5,0.5,0.5,19.5,14.5,84.5,102.5,209.5,44.5
"469",0.5,0.5,0.5,0.5,0.5,22.5,38.5,38.5,48.5,13.5,80.5,185.5,236.5,59.5
"470",0.5,0.5,0.5,0.5,24.5,13.5,87.5,67.5,42.5,54.5,183.5,163.5,110.5,56.5
"471",0.5,22.5,0.5,0.5,9.5,0.5,26.5,39.5,34.5,76.5,144.5,270.5,265.5,57.5
"472",0.5,0.5,0.5,0.5,0.5,0.5,86.5,39.5,0.5,0.5,103.5,305.5,130.5,120.5
"473",0.5,17.5,0.5,0.5,0.5,0.5,20.5,16.5,117.5,0.5,20.5,170.5,206.5,286.5
"474",0.5,0.5,0.5,0.5,0.5,0.5,33.5,35.5,64.5,119.5,53.5,127.5,294.5,95.5
"475",8.5,0.5,0.5,0.5,26.5,20.5,39.5,20.5,40.5,0.5,19.5,8.5,0.5,53.5
"476",15.5,0.5,12.5,9.5,0.5,0.5,15.5,0.5,94.5,51.5,271.5,162.5,42.5,50.5
"477",0.5,0.5,0.5,0.5,0.5,61.5,0.5,0.5,0.5,0.5,0.5,0.5,88.5,16.5
"478",32.5,30.5,9.5,46.5,23.5,43.5,33.5,40.5,36.5,52.5,154.5,56.5,145.5,267.5
"479",0.5,0.5,39.5,42.5,0.5,16.5,16.5,91.5,53.5,25.5,122.5,281.5,380.5,142.5
"480",126.5,60.5,83.5,91.5,169.5,128.5,166.5,29.5,27.5,60.5,45.5,162.5,38.5,35.5
"481",103.5,36.5,79.5,96.5,53.5,164.5,115.5,37.5,63.5,43.5,26.5,44.5,75.5,9.5
"482",32.5,46.5,9.5,43.5,62.5,76.5,82.5,11.5,0.5,17.5,17.5,65.5,0.5,10.5
"483",23.5,19.5,288.5,196.5,203.5,166.5,162.5,0.5,29.5,20.5,0.5,15.5,41.5,0.5
"484",58.5,38.5,204.5,358.5,216.5,170.5,240.5,30.5,42.5,63.5,22.5,88.5,25.5,34.5
"485",58.5,43.5,32.5,96.5,244.5,362.5,144.5,145.5,33.5,21.5,16.5,79.5,0.5,43.5
"486",126.5,32.5,13.5,37.5,87.5,218.5,124.5,44.5,29.5,13.5,41.5,13.5,27.5,0.5
"487",38.5,138.5,97.5,197.5,203.5,216.5,267.5,57.5,95.5,58.5,50.5,73.5,153.5,30.5
"488",101.5,19.5,62.5,418.5,269.5,197.5,239.5,29.5,138.5,0.5,34.5,48.5,30.5,20.5
"489",49.5,76.5,0.5,223.5,190.5,174.5,87.5,105.5,20.5,60.5,84.5,20.5,40.5,0.5
"490",63.5,0.5,106.5,49.5,163.5,298.5,298.5,25.5,183.5,11.5,0.5,12.5,51.5,0.5
"491",32.5,112.5,31.5,65.5,165.5,122.5,20.5,45.5,12.5,82.5,27.5,37.5,0.5,14.5
"492",0.5,0.5,0.5,20.5,0.5,0.5,92.5,73.5,201.5,221.5,344.5,652.5,319.5,334.5
"493",0.5,135.5,186.5,426.5,280.5,60.5,54.5,24.5,15.5,0.5,0.5,0.5,50.5,0.5
"494",0.5,0.5,0.5,0.5,0.5,35.5,148.5,46.5,115.5,96.5,138.5,607.5,314.5,143.5
"495",100.5,109.5,158.5,119.5,241.5,91.5,124.5,40.5,57.5,59.5,74.5,134.5,73.5,37.5
"496",0.5,95.5,278.5,571.5,304.5,146.5,50.5,66.5,96.5,65.5,144.5,329.5,270.5,50.5
"497",0.5,21.5,108.5,56.5,104.5,46.5,38.5,0.5,0.5,19.5,54.5,17.5,0.5,0.5
"498",375.5,196.5,214.5,136.5,91.5,192.5,91.5,9.5,10.5,2.5,99.5,77.5,27.5,28.5
"499",32.5,159.5,222.5,440.5,52.5,147.5,250.5,124.5,57.5,109.5,0.5,79.5,67.5,60.5
"500",42.5,81.5,172.5,205.5,175.5,96.5,118.5,0.5,0.5,0.5,77.5,126.5,67.5,0.5
"501",0.5,0.5,270.5,165.5,204.5,111.5,72.5,0.5,0.5,0.5,16.5,0.5,47.5,49.5
"502",50.5,67.5,70.5,138.5,137.5,68.5,133.5,76.5,160.5,9.5,87.5,117.5,117.5,94.5
"503",201.5,63.5,51.5,177.5,376.5,299.5,115.5,122.5,90.5,46.5,150.5,115.5,49.5,16.5
"504",50.5,119.5,68.5,64.5,141.5,177.5,139.5,31.5,44.5,25.5,29.5,182.5,52.5,20.5
"505",54.5,135.5,80.5,34.5,63.5,61.5,71.5,30.5,0.5,15.5,69.5,51.5,0.5,9.5
"506",38.5,40.5,93.5,75.5,258.5,148.5,90.5,76.5,82.5,0.5,35.5,25.5,97.5,20.5
"507",61.5,121.5,116.5,157.5,313.5,261.5,570.5,53.5,39.5,53.5,21.5,96.5,104.5,31.5
"508",58.5,90.5,120.5,170.5,232.5,193.5,236.5,42.5,135.5,40.5,29.5,67.5,16.5,40.5
"509",67.5,78.5,28.5,44.5,118.5,81.5,63.5,47.5,47.5,8.5,34.5,63.5,28.5,33.5
"510",32.5,43.5,53.5,70.5,124.5,71.5,98.5,64.5,40.5,7.5,19.5,29.5,47.5,8.5
"511",326.5,252.5,98.5,102.5,157.5,37.5,81.5,29.5,9.5,0.5,43.5,0.5,0.5,0.5
"512",458.5,348.5,372.5,313.5,212.5,31.5,198.5,93.5,25.5,0.5,112.5,15.5,0.5,0.5
"513",15.5,16.5,26.5,32.5,120.5,74.5,72.5,0.5,16.5,0.5,0.5,15.5,0.5,8.5
"514",68.5,17.5,14.5,26.5,401.5,183.5,125.5,55.5,36.5,41.5,49.5,57.5,12.5,38.5
"515",124.5,111.5,226.5,140.5,138.5,152.5,193.5,60.5,53.5,0.5,102.5,96.5,130.5,12.5
"516",128.5,8.5,132.5,84.5,54.5,214.5,227.5,106.5,43.5,0.5,13.5,13.5,0.5,0.5
"517",12.5,13.5,26.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,13.5
"518",129.5,148.5,89.5,86.5,267.5,71.5,95.5,41.5,0.5,0.5,294.5,44.5,34.5,71.5
"519",16.5,37.5,107.5,156.5,184.5,355.5,200.5,129.5,104.5,87.5,32.5,198.5,6.5,0.5
"520",186.5,68.5,182.5,154.5,146.5,77.5,145.5,16.5,31.5,60.5,39.5,33.5,118.5,92.5
"521",15.5,33.5,68.5,167.5,53.5,82.5,199.5,40.5,106.5,15.5,16.5,66.5,0.5,0.5
"522",82.5,208.5,129.5,77.5,105.5,108.5,159.5,52.5,72.5,19.5,55.5,50.5,26.5,13.5
"523",63.5,85.5,61.5,44.5,91.5,242.5,86.5,67.5,17.5,49.5,74.5,32.5,0.5,0.5
"524",41.5,53.5,105.5,162.5,271.5,349.5,77.5,46.5,26.5,0.5,11.5,14.5,0.5,8.5
"525",124.5,28.5,242.5,204.5,169.5,327.5,228.5,8.5,73.5,35.5,69.5,69.5,104.5,13.5
"526",43.5,112.5,173.5,137.5,225.5,124.5,105.5,25.5,35.5,45.5,45.5,58.5,39.5,0.5
"527",77.5,118.5,89.5,56.5,69.5,76.5,145.5,206.5,118.5,32.5,26.5,54.5,43.5,43.5
"528",60.5,39.5,115.5,131.5,192.5,349.5,376.5,127.5,179.5,68.5,28.5,119.5,21.5,22.5
"529",27.5,0.5,17.5,7.5,29.5,64.5,87.5,8.5,7.5,0.5,1.5,37.5,51.5,158.5
"530",73.5,51.5,220.5,113.5,63.5,35.5,29.5,0.5,17.5,20.5,0.5,0.5,0.5,0.5
"531",268.5,258.5,201.5,70.5,127.5,132.5,82.5,0.5,0.5,17.5,0.5,26.5,20.5,0.5
"532",130.5,0.5,149.5,201.5,510.5,450.5,218.5,121.5,92.5,0.5,185.5,205.5,18.5,17.5
"533",46.5,129.5,73.5,117.5,52.5,30.5,18.5,47.5,69.5,0.5,24.5,24.5,15.5,24.5
"534",78.5,50.5,21.5,186.5,127.5,150.5,92.5,20.5,21.5,41.5,34.5,27.5,16.5,7.5
"535",87.5,18.5,21.5,36.5,135.5,209.5,185.5,61.5,31.5,19.5,18.5,19.5,13.5,0.5
"536",351.5,276.5,184.5,277.5,71.5,31.5,119.5,76.5,41.5,0.5,68.5,65.5,14.5,102.5
"537",0.5,70.5,269.5,215.5,107.5,127.5,43.5,50.5,25.5,50.5,0.5,50.5,0.5,0.5
"538",185.5,275.5,126.5,88.5,77.5,54.5,55.5,14.5,50.5,39.5,14.5,15.5,33.5,0.5
"539",14.5,15.5,26.5,124.5,110.5,23.5,52.5,6.5,0.5,0.5,0.5,12.5,0.5,0.5
"540",516.5,380.5,106.5,60.5,52.5,44.5,18.5,26.5,11.5,0.5,35.5,0.5,0.5,0.5
"541",202.5,212.5,321.5,327.5,119.5,36.5,62.5,22.5,0.5,9.5,7.5,109.5,0.5,21.5
"542",73.5,109.5,145.5,155.5,165.5,305.5,135.5,81.5,180.5,63.5,142.5,81.5,34.5,45.5
"543",35.5,60.5,31.5,65.5,123.5,103.5,215.5,119.5,4.5,32.5,87.5,63.5,69.5,95.5
"544",0.5,7.5,6.5,0.5,0.5,0.5,0.5,0.5,6.5,0.5,0.5,0.5,0.5,0.5
"545",186.5,46.5,59.5,55.5,18.5,35.5,49.5,17.5,36.5,9.5,28.5,11.5,76.5,8.5
"546",34.5,9.5,9.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"547",39.5,59.5,64.5,28.5,41.5,82.5,63.5,27.5,69.5,22.5,31.5,59.5,38.5,32.5
"548",130.5,508.5,272.5,380.5,381.5,472.5,477.5,125.5,269.5,89.5,52.5,16.5,45.5,14.5
"549",108.5,133.5,92.5,31.5,23.5,103.5,190.5,60.5,145.5,80.5,33.5,48.5,11.5,29.5
"550",118.5,160.5,280.5,73.5,163.5,0.5,59.5,0.5,50.5,0.5,0.5,13.5,0.5,0.5
"551",96.5,110.5,158.5,37.5,242.5,89.5,61.5,39.5,39.5,69.5,28.5,4.5,14.5,22.5
"552",74.5,33.5,44.5,78.5,110.5,124.5,117.5,9.5,10.5,14.5,74.5,35.5,0.5,8.5
"553",92.5,165.5,198.5,168.5,30.5,59.5,75.5,22.5,98.5,114.5,47.5,98.5,19.5,25.5
"554",15.5,112.5,37.5,89.5,68.5,197.5,69.5,0.5,41.5,12.5,38.5,69.5,33.5,29.5
"555",262.5,178.5,176.5,56.5,58.5,34.5,204.5,101.5,54.5,23.5,51.5,52.5,5.5,57.5
"556",0.5,0.5,96.5,0.5,10.5,0.5,17.5,6.5,0.5,0.5,11.5,63.5,43.5,39.5
"557",85.5,0.5,0.5,114.5,0.5,16.5,3.5,0.5,0.5,0.5,14.5,20.5,19.5,0.5
"558",0.5,0.5,116.5,112.5,99.5,0.5,0.5,0.5,279.5,33.5,0.5,108.5,14.5,39.5
"559",0.5,242.5,0.5,84.5,107.5,0.5,14.5,0.5,57.5,0.5,0.5,23.5,27.5,51.5
"560",532.5,328.5,45.5,37.5,11.5,11.5,183.5,0.5,21.5,15.5,0.5,0.5,0.5,0.5
"561",110.5,48.5,131.5,145.5,68.5,211.5,109.5,36.5,154.5,23.5,98.5,245.5,164.5,94.5
"562",88.5,68.5,0.5,144.5,123.5,49.5,0.5,0.5,42.5,0.5,0.5,42.5,5.5,0.5
"563",0.5,182.5,0.5,6.5,106.5,40.5,31.5,20.5,21.5,3.5,15.5,153.5,34.5,0.5
"564",137.5,175.5,344.5,157.5,75.5,89.5,12.5,16.5,48.5,14.5,34.5,43.5,0.5,17.5
"565",0.5,0.5,10.5,11.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"566",146.5,131.5,187.5,144.5,20.5,0.5,13.5,0.5,0.5,0.5,0.5,0.5,4.5,0.5
