"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"89",42.5,61.5,61.5,286.5,12.5,43.5,86.5,15.5,68.5,136.5,0.5,27.5,0.5,0.5
"90",15.5,77.5,115.5,181.5,125.5,171.5,55.5,33.5,102.5,76.5,56.5,83.5,0.5,42.5
"91",38.5,11.5,39.5,76.5,147.5,73.5,85.5,8.5,32.5,29.5,46.5,18.5,0.5,9.5
"92",0.5,16.5,0.5,42.5,49.5,51.5,20.5,24.5,6.5,12.5,76.5,77.5,0.5,5.5
"93",102.5,56.5,120.5,61.5,151.5,239.5,183.5,95.5,82.5,75.5,69.5,40.5,16.5,44.5
"94",30.5,40.5,93.5,67.5,116.5,48.5,83.5,23.5,10.5,24.5,22.5,110.5,33.5,7.5
"95",34.5,0.5,44.5,25.5,41.5,101.5,34.5,33.5,15.5,13.5,0.5,55.5,0.5,40.5
"96",69.5,9.5,56.5,137.5,153.5,37.5,107.5,6.5,96.5,22.5,1.5,63.5,21.5,16.5
"97",40.5,24.5,27.5,96.5,45.5,60.5,23.5,19.5,58.5,22.5,19.5,89.5,21.5,31.5
"98",53.5,182.5,340.5,175.5,201.5,87.5,71.5,0.5,0.5,0.5,40.5,0.5,44.5,0.5
"99",123.5,137.5,40.5,223.5,123.5,234.5,102.5,144.5,73.5,0.5,59.5,64.5,0.5,24.5
"100",61.5,11.5,95.5,73.5,144.5,40.5,76.5,52.5,20.5,0.5,25.5,0.5,97.5,58.5
"101",31.5,0.5,82.5,19.5,38.5,113.5,23.5,21.5,29.5,0.5,65.5,8.5,0.5,49.5
"102",0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.5,0.5,0.5,0.5,0.5,0.5,0.5
"103",164.5,744.5,503.5,204.5,60.5,132.5,148.5,64.5,37.5,47.5,27.5,26.5,5.5,0.5
"104",187.5,44.5,58.5,216.5,0.5,10.5,52.5,14.5,15.5,48.5,119.5,23.5,30.5,4.5
"105",68.5,147.5,296.5,120.5,78.5,140.5,68.5,38.5,59.5,21.5,17.5,78.5,39.5,7.5
"106",55.5,19.5,23.5,58.5,78.5,107.5,124.5,43.5,23.5,22.5,24.5,59.5,42.5,51.5
"107",35.5,96.5,205.5,117.5,113.5,72.5,90.5,92.5,177.5,127.5,66.5,26.5,21.5,49.5
"108",9.5,23.5,12.5,29.5,72.5,60.5,38.5,37.5,92.5,16.5,26.5,90.5,40.5,15.5
"109",173.5,36.5,139.5,72.5,162.5,72.5,15.5,0.5,0.5,0.5,0.5,0.5,19.5,0.5
"110",218.5,295.5,454.5,199.5,255.5,122.5,0.5,0.5,21.5,0.5,0.5,0.5,0.5,0.5
"111",78.5,6.5,77.5,121.5,174.5,55.5,66.5,30.5,38.5,20.5,46.5,76.5,63.5,25.5
"112",42.5,69.5,56.5,198.5,52.5,71.5,53.5,27.5,11.5,39.5,0.5,84.5,0.5,0.5
"113",134.5,221.5,239.5,171.5,136.5,67.5,107.5,19.5,65.5,63.5,44.5,72.5,22.5,7.5
"114",269.5,395.5,178.5,190.5,66.5,218.5,147.5,16.5,71.5,22.5,36.5,14.5,53.5,24.5
"115",221.5,223.5,140.5,23.5,114.5,262.5,47.5,0.5,35.5,0.5,36.5,45.5,0.5,34.5
"116",43.5,346.5,486.5,384.5,40.5,32.5,107.5,42.5,4.5,0.5,0.5,59.5,41.5,0.5
"117",26.5,50.5,85.5,125.5,30.5,64.5,57.5,0.5,6.5,16.5,20.5,23.5,0.5,14.5
"118",69.5,176.5,47.5,38.5,74.5,144.5,117.5,49.5,54.5,40.5,35.5,108.5,0.5,9.5
"119",67.5,80.5,99.5,4.5,81.5,81.5,30.5,26.5,77.5,49.5,59.5,52.5,17.5,39.5
"120",92.5,25.5,57.5,13.5,35.5,80.5,121.5,28.5,136.5,85.5,33.5,36.5,21.5,0.5
"121",19.5,81.5,41.5,22.5,62.5,10.5,18.5,18.5,0.5,31.5,43.5,84.5,23.5,18.5
"122",59.5,55.5,13.5,60.5,49.5,51.5,88.5,18.5,72.5,30.5,28.5,35.5,10.5,28.5
"123",31.5,48.5,49.5,51.5,86.5,63.5,101.5,0.5,55.5,12.5,0.5,21.5,36.5,3.5
"124",41.5,139.5,223.5,62.5,183.5,63.5,111.5,95.5,131.5,57.5,73.5,133.5,28.5,117.5
"125",44.5,76.5,169.5,173.5,172.5,25.5,176.5,22.5,88.5,101.5,140.5,28.5,57.5,10.5
"126",91.5,68.5,45.5,31.5,43.5,27.5,145.5,50.5,47.5,9.5,8.5,0.5,11.5,0.5
"127",250.5,65.5,135.5,132.5,91.5,122.5,99.5,40.5,77.5,15.5,154.5,157.5,102.5,0.5
"128",40.5,85.5,106.5,130.5,19.5,29.5,66.5,0.5,30.5,10.5,21.5,10.5,21.5,0.5
"129",65.5,116.5,102.5,149.5,179.5,26.5,131.5,0.5,18.5,40.5,80.5,59.5,0.5,18.5
"130",59.5,56.5,42.5,0.5,32.5,72.5,60.5,115.5,32.5,14.5,10.5,42.5,5.5,20.5
"131",88.5,97.5,67.5,85.5,139.5,89.5,157.5,37.5,51.5,53.5,31.5,110.5,133.5,0.5
"132",119.5,93.5,40.5,165.5,53.5,55.5,105.5,9.5,96.5,24.5,10.5,38.5,28.5,34.5
"133",148.5,0.5,64.5,44.5,113.5,104.5,72.5,104.5,61.5,22.5,38.5,74.5,119.5,23.5
"134",167.5,62.5,135.5,98.5,38.5,67.5,10.5,33.5,37.5,50.5,44.5,177.5,14.5,0.5
"135",151.5,503.5,307.5,64.5,37.5,32.5,23.5,11.5,31.5,5.5,0.5,73.5,56.5,11.5
"136",177.5,201.5,147.5,91.5,65.5,50.5,42.5,20.5,74.5,20.5,83.5,75.5,65.5,0.5
"137",96.5,143.5,72.5,171.5,71.5,34.5,53.5,34.5,32.5,12.5,13.5,46.5,60.5,43.5
"138",14.5,105.5,60.5,14.5,53.5,23.5,163.5,56.5,46.5,6.5,5.5,8.5,23.5,9.5
"139",201.5,178.5,381.5,158.5,248.5,219.5,115.5,37.5,45.5,30.5,19.5,8.5,19.5,21.5
"140",185.5,55.5,54.5,240.5,46.5,8.5,20.5,0.5,0.5,11.5,0.5,0.5,0.5,0.5
"141",2.5,10.5,0.5,0.5,0.5,0.5,12.5,2.5,0.5,0.5,0.5,0.5,0.5,0.5
"142",26.5,0.5,0.5,0.5,0.5,21.5,22.5,0.5,0.5,0.5,0.5,0.5,21.5,0.5
"143",178.5,137.5,122.5,233.5,76.5,120.5,45.5,20.5,38.5,40.5,43.5,46.5,39.5,58.5
"144",35.5,39.5,41.5,102.5,191.5,85.5,150.5,106.5,39.5,13.5,53.5,18.5,82.5,45.5
"145",250.5,125.5,19.5,133.5,81.5,41.5,66.5,112.5,46.5,42.5,80.5,79.5,95.5,45.5
"146",28.5,60.5,59.5,58.5,55.5,20.5,35.5,36.5,42.5,25.5,10.5,23.5,25.5,23.5
"147",15.5,0.5,39.5,105.5,38.5,41.5,88.5,40.5,11.5,0.5,11.5,53.5,28.5,36.5
"148",109.5,41.5,62.5,39.5,51.5,53.5,13.5,21.5,7.5,0.5,34.5,61.5,15.5,8.5
"149",91.5,44.5,38.5,5.5,82.5,60.5,155.5,26.5,31.5,0.5,57.5,56.5,9.5,0.5
"150",60.5,119.5,89.5,95.5,19.5,72.5,94.5,73.5,9.5,54.5,86.5,35.5,11.5,9.5
"151",78.5,303.5,71.5,217.5,78.5,63.5,81.5,29.5,21.5,0.5,88.5,45.5,62.5,39.5
"152",304.5,260.5,318.5,234.5,131.5,153.5,121.5,35.5,78.5,22.5,52.5,55.5,63.5,22.5
"153",77.5,37.5,66.5,63.5,47.5,25.5,34.5,0.5,60.5,49.5,14.5,20.5,21.5,7.5
"154",112.5,14.5,194.5,158.5,150.5,71.5,49.5,17.5,11.5,25.5,43.5,65.5,35.5,26.5
"155",51.5,60.5,78.5,22.5,58.5,76.5,94.5,16.5,25.5,45.5,20.5,29.5,6.5,23.5
"156",53.5,33.5,33.5,121.5,75.5,230.5,75.5,44.5,42.5,26.5,28.5,58.5,26.5,8.5
"157",38.5,61.5,50.5,98.5,59.5,101.5,57.5,43.5,36.5,22.5,42.5,6.5,32.5,34.5
"158",52.5,30.5,86.5,51.5,73.5,103.5,73.5,2.5,64.5,9.5,16.5,35.5,18.5,2.5
"159",17.5,159.5,132.5,160.5,119.5,119.5,80.5,19.5,94.5,38.5,92.5,93.5,45.5,20.5
"160",45.5,129.5,37.5,49.5,62.5,219.5,35.5,39.5,146.5,105.5,51.5,88.5,51.5,1.5
"161",28.5,15.5,66.5,114.5,105.5,37.5,15.5,30.5,27.5,23.5,23.5,55.5,12.5,0.5
"162",158.5,54.5,131.5,157.5,122.5,55.5,140.5,51.5,85.5,60.5,65.5,15.5,31.5,8.5
"163",91.5,171.5,100.5,191.5,108.5,211.5,102.5,54.5,123.5,27.5,86.5,46.5,66.5,40.5
"164",35.5,70.5,85.5,79.5,110.5,433.5,138.5,19.5,49.5,17.5,22.5,26.5,31.5,28.5
"165",98.5,149.5,105.5,133.5,138.5,165.5,148.5,89.5,54.5,28.5,10.5,99.5,60.5,10.5
"166",83.5,119.5,263.5,130.5,39.5,107.5,134.5,26.5,176.5,121.5,89.5,95.5,55.5,17.5
"167",129.5,43.5,191.5,72.5,123.5,144.5,81.5,193.5,221.5,120.5,19.5,194.5,92.5,56.5
"168",78.5,37.5,316.5,66.5,27.5,128.5,106.5,27.5,27.5,0.5,66.5,35.5,84.5,14.5
"169",47.5,83.5,9.5,33.5,25.5,44.5,16.5,32.5,29.5,8.5,26.5,15.5,0.5,0.5
"170",61.5,29.5,78.5,0.5,64.5,7.5,35.5,12.5,43.5,8.5,69.5,44.5,24.5,0.5
"171",31.5,59.5,73.5,20.5,55.5,51.5,101.5,27.5,47.5,64.5,26.5,66.5,0.5,16.5
"172",99.5,94.5,85.5,65.5,77.5,77.5,79.5,70.5,84.5,105.5,97.5,77.5,42.5,47.5
"173",27.5,149.5,76.5,56.5,45.5,89.5,105.5,29.5,54.5,54.5,0.5,169.5,39.5,3.5
"174",0.5,77.5,78.5,54.5,92.5,69.5,106.5,19.5,178.5,113.5,31.5,43.5,13.5,54.5
"175",222.5,42.5,131.5,100.5,115.5,101.5,108.5,0.5,50.5,33.5,41.5,76.5,19.5,24.5
"176",40.5,11.5,57.5,131.5,77.5,82.5,45.5,28.5,34.5,119.5,51.5,130.5,4.5,12.5
"177",0.5,154.5,0.5,244.5,74.5,16.5,134.5,32.5,43.5,29.5,84.5,23.5,27.5,20.5
"178",308.5,207.5,221.5,126.5,269.5,109.5,368.5,97.5,113.5,155.5,27.5,108.5,25.5,86.5
"179",12.5,180.5,241.5,162.5,31.5,21.5,28.5,66.5,22.5,46.5,158.5,170.5,165.5,109.5
"180",121.5,55.5,25.5,0.5,35.5,167.5,48.5,79.5,72.5,28.5,58.5,36.5,11.5,47.5
"181",25.5,36.5,38.5,132.5,41.5,10.5,201.5,24.5,27.5,11.5,0.5,20.5,208.5,38.5
"182",355.5,36.5,75.5,89.5,60.5,110.5,182.5,164.5,34.5,0.5,199.5,157.5,47.5,15.5
"183",18.5,6.5,13.5,50.5,167.5,61.5,77.5,0.5,39.5,10.5,0.5,16.5,37.5,16.5
"184",38.5,46.5,54.5,19.5,227.5,138.5,31.5,15.5,16.5,19.5,75.5,28.5,30.5,0.5
"185",48.5,55.5,11.5,68.5,74.5,13.5,60.5,12.5,24.5,61.5,12.5,17.5,21.5,12.5
"186",12.5,53.5,60.5,37.5,46.5,45.5,13.5,13.5,23.5,39.5,86.5,32.5,19.5,11.5
"187",203.5,211.5,127.5,84.5,113.5,87.5,130.5,21.5,71.5,23.5,65.5,149.5,212.5,19.5
"188",169.5,257.5,362.5,40.5,19.5,110.5,90.5,58.5,67.5,87.5,41.5,14.5,11.5,9.5
"189",69.5,101.5,91.5,80.5,114.5,126.5,99.5,33.5,22.5,59.5,69.5,383.5,60.5,25.5
"190",65.5,45.5,32.5,74.5,36.5,39.5,123.5,92.5,35.5,24.5,59.5,63.5,30.5,28.5
"191",112.5,51.5,20.5,16.5,74.5,50.5,31.5,16.5,53.5,0.5,6.5,29.5,0.5,16.5
"192",14.5,48.5,66.5,0.5,60.5,56.5,0.5,41.5,16.5,0.5,0.5,16.5,35.5,16.5
"193",244.5,175.5,95.5,186.5,114.5,251.5,165.5,0.5,101.5,50.5,122.5,13.5,130.5,0.5
"194",204.5,229.5,207.5,39.5,281.5,142.5,138.5,82.5,104.5,52.5,22.5,14.5,0.5,105.5
