"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
44.5,43,273,82,20.5,189.5,117.5
9.5,2,240,77,85.5,88.5,89.5
79.5,3,396,275,125.5,240.5,93.5
133.5,2,1126,245,254.5,388.5,63.5
325.5,31,389,56,9.5,52.5,32.5
12.5,40,640,51,75.5,78.5,96.5
91.5,41,370,145,31.5,181.5,109.5
5.5,26,216,93,66.5,98.5,37.5
5.5,44,136,83,70.5,48.5,75.5
28.5,78,273,194,104.5,241.5,152.5
137.5,8,174,174,123.5,131.5,81.5
52.5,163,224,132,10.5,183.5,48.5
118.5,184,495,207,54.5,364.5,206.5
205.5,130,990,229,95.5,217.5,66.5
119.5,78,477,245,207.5,437.5,53.5
36.5,2,380,103,47.5,128.5,71.5
116.5,101,210,77,46.5,287.5,118.5
46.5,101,177,150,58.5,193.5,62.5
175.5,135,402,142,82.5,219.5,1.5
59.5,146,381,94,73.5,175.5,73.5
24.5,82,496,273,15.5,81.5,21.5
22.5,16,335,87,129.5,58.5,51.5
231.5,22,269,91,63.5,297.5,182.5
58.5,142,395,242,157.5,292.5,108.5
41.5,37,96,11,0.5,20.5,8.5
210.5,238,790,632,239.5,239.5,148.5
21.5,144,362,92,109.5,106.5,62.5
72.5,148,361,225,95.5,111.5,19.5
201.5,131,530,141,125.5,120.5,45.5
243.5,109,401,158,178.5,121.5,9.5
62.5,130,399,239,156.5,93.5,52.5
5.5,12,236,115,54.5,23.5,51.5
170.5,116,475,84,95.5,102.5,102.5
205.5,16,227,32,97.5,118.5,1.5
92.5,54,148,70,87.5,318.5,25.5
220.5,179,370,130,96.5,72.5,28.5
179.5,202,235,71,71.5,144.5,75.5
105.5,99,258,301,20.5,50.5,1.5
148.5,2,66,184,0.5,0.5,1.5
342.5,160,222,258,85.5,161.5,34.5
5.5,18,488,138,0.5,0.5,1.5
66.5,220,334,592,189.5,337.5,260.5
201.5,130,277,90,54.5,15.5,18.5
279.5,364,362,234,20.5,129.5,1.5
121.5,148,203,197,125.5,82.5,23.5
94.5,125,417,22,0.5,25.5,1.5
71.5,2,118,82,46.5,70.5,40.5
119.5,83,227,67,80.5,78.5,1.5
262.5,63,462,302,48.5,45.5,1.5
175.5,98,268,69,96.5,91.5,47.5
384.5,175,281,101,18.5,117.5,9.5
208.5,126,233,164,19.5,79.5,17.5
602.5,381,1061,171,30.5,22.5,26.5
561.5,228,301,220,147.5,297.5,249.5
128.5,70,91,44,0.5,44.5,1.5
213.5,121,513,207,106.5,177.5,11.5
79.5,23,128,117,4.5,164.5,39.5
252.5,229,376,187,12.5,151.5,51.5
332.5,225,496,127,33.5,118.5,51.5
11.5,2,75,75,22.5,74.5,123.5
24.5,25,98,27,32.5,60.5,220.5
14.5,2,68,11,0.5,52.5,56.5
7.5,2,45,30,3.5,142.5,311.5
179.5,93,194,92,18.5,159.5,208.5
390.5,55,169,36,0.5,69.5,47.5
117.5,18,60,26,38.5,32.5,1.5
5.5,2,1,1,48.5,55.5,1.5
243.5,46,405,24,0.5,34.5,116.5
312.5,174,293,61,0.5,35.5,1.5
273.5,2,512,87,28.5,17.5,1.5
158.5,61,614,251,73.5,294.5,60.5
212.5,239,408,193,13.5,246.5,37.5
302.5,113,343,59,17.5,29.5,1.5
563.5,94,526,94,13.5,56.5,1.5
235.5,42,59,81,50.5,125.5,25.5
432.5,205,370,63,33.5,52.5,11.5
293.5,125,242,1,0.5,16.5,28.5
124.5,286,457,63,13.5,33.5,1.5
240.5,199,414,290,67.5,221.5,210.5
342.5,176,236,80,34.5,25.5,64.5
162.5,152,177,114,26.5,119.5,49.5
388.5,235,476,153,32.5,96.5,2.5
211.5,218,26,45,92.5,37.5,1.5
71.5,56,532,319,141.5,414.5,265.5
171.5,173,135,141,76.5,247.5,152.5
86.5,74,151,191,58.5,271.5,42.5
162.5,46,195,105,142.5,140.5,9.5
228.5,107,198,56,7.5,88.5,30.5
208.5,13,108,78,35.5,31.5,25.5
114.5,50,407,244,22.5,43.5,20.5
36.5,2,57,49,26.5,91.5,44.5
17.5,76,223,149,112.5,378.5,124.5
257.5,81,255,181,160.5,127.5,256.5
245.5,62,174,65,14.5,67.5,29.5
41.5,54,161,147,79.5,393.5,286.5
73.5,77,227,86,92.5,187.5,180.5
34.5,52,218,85,99.5,248.5,211.5
81.5,93,237,108,105.5,369.5,294.5
53.5,31,125,139,63.5,571.5,337.5
76.5,58,132,24,20.5,267.5,345.5
5.5,58,437,292,88.5,294.5,240.5
56.5,30,113,119,99.5,241.5,318.5
5.5,14,120,344,71.5,890.5,832.5
5.5,23,171,150,15.5,246.5,232.5
5.5,16,125,65,59.5,332.5,193.5
47.5,94,137,194,136.5,57.5,95.5
142.5,59,287,353,26.5,68.5,141.5
45.5,159,300,224,0.5,126.5,63.5
5.5,40,41,199,176.5,584.5,659.5
5.5,20,43,1,0.5,146.5,24.5
5.5,19,113,283,204.5,600.5,302.5
17.5,2,510,90,70.5,687.5,449.5
155.5,118,199,252,69.5,613.5,296.5
60.5,39,207,22,11.5,329.5,208.5
10.5,80,326,17,8.5,5.5,1.5
5.5,55,355,95,25.5,144.5,45.5
5.5,2,179,86,45.5,300.5,141.5
20.5,59,215,166,93.5,259.5,112.5
5.5,19,107,108,76.5,247.5,53.5
5.5,35,349,177,16.5,271.5,1.5
21.5,17,257,305,167.5,378.5,115.5
5.5,39,55,147,156.5,178.5,120.5
5.5,30,73,55,95.5,261.5,317.5
44.5,29,250,145,53.5,287.5,307.5
19.5,8,184,144,111.5,434.5,190.5
96.5,98,273,159,60.5,272.5,148.5
5.5,26,152,101,24.5,337.5,326.5
85.5,189,163,156,123.5,602.5,187.5
14.5,40,82,156,81.5,290.5,263.5
37.5,51,123,127,58.5,308.5,174.5
74.5,63,189,182,59.5,430.5,749.5
5.5,44,147,243,140.5,586.5,627.5
33.5,2,204,249,22.5,644.5,551.5
5.5,15,17,8,46.5,413.5,349.5
5.5,32,309,177,149.5,629.5,760.5
8.5,2,112,73,81.5,239.5,347.5
17.5,11,107,94,95.5,449.5,433.5
24.5,131,261,133,49.5,370.5,249.5
53.5,25,146,76,67.5,336.5,196.5
10.5,2,263,155,98.5,333.5,208.5
16.5,67,409,213,106.5,664.5,399.5
42.5,19,329,50,116.5,384.5,240.5
22.5,59,288,202,104.5,363.5,436.5
10.5,152,267,227,17.5,116.5,193.5
61.5,13,140,43,83.5,170.5,23.5
5.5,2,53,81,93.5,115.5,88.5
15.5,17,42,111,56.5,404.5,418.5
25.5,12,187,417,111.5,332.5,234.5
225.5,198,243,42,0.5,96.5,18.5
61.5,58,369,102,38.5,346.5,98.5
37.5,14,123,159,96.5,96.5,41.5
60.5,21,203,141,48.5,199.5,118.5
193.5,2,24,124,0.5,2.5,66.5
13.5,17,189,143,8.5,33.5,40.5
250.5,15,213,91,76.5,191.5,47.5
30.5,74,293,145,55.5,69.5,47.5
5.5,36,391,216,0.5,55.5,18.5
214.5,55,343,211,102.5,134.5,132.5
99.5,25,608,209,211.5,217.5,249.5
73.5,60,573,444,200.5,522.5,203.5
85.5,68,613,358,35.5,348.5,136.5
44.5,90,88,100,65.5,99.5,60.5
9.5,2,85,62,81.5,124.5,126.5
17.5,19,241,123,60.5,105.5,64.5
86.5,125,139,155,43.5,470.5,269.5
46.5,17,337,186,112.5,338.5,140.5
36.5,66,471,183,78.5,347.5,74.5
34.5,2,15,84,24.5,20.5,1.5
90.5,101,726,471,164.5,535.5,242.5
18.5,78,220,88,81.5,131.5,52.5
17.5,48,436,286,216.5,664.5,293.5
5.5,10,111,128,24.5,192.5,62.5
42.5,149,268,90,76.5,272.5,443.5
57.5,66,307,323,69.5,561.5,133.5
39.5,2,385,155,80.5,220.5,71.5
36.5,25,241,205,172.5,228.5,45.5
5.5,42,341,351,85.5,315.5,232.5
50.5,61,491,240,94.5,239.5,140.5
77.5,72,209,145,68.5,338.5,102.5
29.5,83,590,304,103.5,455.5,52.5
5.5,2,334,167,75.5,503.5,216.5
5.5,2,197,176,143.5,384.5,148.5
5.5,123,337,259,18.5,31.5,35.5
