"","Male","Female"
"546",48.5,4.5
"547",338.5,316.5
"548",3157.5,73.5
"549",519.5,567.5
"550",414.5,502.5
"551",526.5,482.5
"552",341.5,389.5
"553",639.5,571.5
"554",431.5,378.5
"555",716.5,595.5
"556",131.5,154.5
"557",197.5,74.5
"558",410.5,390.5
"559",173.5,432.5
"560",648.5,535.5
"561",837.5,799.5
"562",288.5,273.5
"563",207.5,404.5
"564",679.5,482.5
"565",11.5,10.5
"566",340.5,305.5
